,ASVno,totalcount,Rel.abun,taxonomy,Genera
ASV_1124,ASV_1124,198,0.012898611,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1125,ASV_1125,197,0.012833467,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Plectosphaerella;,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Plectosphaerella
ASV_1126,ASV_1126,197,0.012833467,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium
ASV_1127,ASV_1127,197,0.012833467,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1129,ASV_1129,196,0.012768322,Fungi;Ascomycota;Dothideomycetes;Mytilinidales;Kirschsteiniotheliaceae;Taeniolella;,Fungi;Ascomycota;Dothideomycetes;Mytilinidales;Kirschsteiniotheliaceae;Taeniolella
ASV_1130,ASV_1130,196,0.012768322,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lycoperdaceae;Bovista;Bovista promontorii ,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lycoperdaceae;Bovista
ASV_1132,ASV_1132,195,0.012703178,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1133,ASV_1133,195,0.012703178,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium;,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium
ASV_1134,ASV_1134,195,0.012703178,Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Hormonema;Hormonema macrosporum ,Fungi;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Hormonema
ASV_1135,ASV_1135,195,0.012703178,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;;,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;
